,school,district,county,enroll_12,num_takers_12,enroll_11,num_takers_11,benchmark_12,percent_12,benchmark_11,percent_11
993,Newbury Park High,Conejo Valley Unified,Ventura,596,220,599,275,168.0,76.36,242.0,88.0
994,Oak Park Independent,Oak Park Unified,Ventura,41,11,45,12,7.0,7.0,7.0,7.0
995,Castle Rock,Del Norte County Office of Education,Del Norte,108,1,54,0,7.0,7.0,0.0,0.0
996,Death Valley High Academy,Death Valley Unified,Inyo,4,0,0,1,0.0,0.0,7.0,7.0
997,Pomona High,Pomona Unified,Los Angeles,270,130,307,131,19.0,14.62,33.0,25.19
998,Pomona Alternative,Pomona Unified,Los Angeles,10,0,3,2,0.0,0.0,7.0,7.0
999,Point Arena High,Point Arena Joint Union High,Mendocino,30,11,34,15,7.0,7.0,7.0,46.67
1000,Oakland Unity High,Oakland Unified,Alameda,81,35,87,63,14.0,40.0,28.0,44.44
1001,ARISE High,Oakland Unified,Alameda,68,39,70,27,4.0,10.26,3.0,11.11
1002,Bellflower High,Bellflower Unified,Los Angeles,367,101,406,79,49.0,48.51,51.0,64.56
1003,Santiago High,Corona-Norco Unified,Riverside,813,392,914,402,239.0,60.97,291.0,72.39
1004,Harbor High,Santa Cruz City High,Santa Cruz,179,65,192,81,39.0,60.0,56.0,69.14
1005,Soquel High,Santa Cruz City High,Santa Cruz,269,103,247,111,58.0,56.31,77.0,69.37
1006,Venture (Alternative),San Ramon Valley Unified,Contra Costa,50,4,50,6,7.0,7.0,7.0,7.0
1007,Holtville High,Holtville Unified,Imperial,138,51,128,42,18.0,35.29,18.0,42.86
1008,Beverly Hills High,Beverly Hills Unified,Los Angeles,404,145,331,222,116.0,80.0,162.0,72.97
1009,San Marino High,San Marino Unified,Los Angeles,269,120,265,164,110.0,91.67,158.0,96.34
1010,YouthBuild Charter School of California,Inyo County Office of Education,Inyo,194,0,535,1,0.0,0.0,7.0,7.0
1011,The Education Corps,Inyo County Office of Education,Inyo,79,0,82,0,0.0,0.0,0.0,0.0
1012,Alliance Cindy and Bill Simon Technology Academy High,Los Angeles Unified,Los Angeles,123,84,114,108,10.0,11.9,13.0,12.04
1013,Pacifica High,Garden Grove Unified,Orange,395,173,385,193,117.0,67.63,151.0,78.24
1014,Beaumont Senior High,Beaumont Unified,Riverside,652,571,656,562,158.0,27.67,159.0,28.29
1015,Success One!,Glenn County Office of Education,Glenn,58,0,15,0,0.0,0.0,0.0,0.0
1016,Willows High,Willows Unified,Glenn,115,27,121,30,5.0,18.52,15.0,50.0
1017,Yosemite High,Yosemite Unified,Madera,135,50,144,51,23.0,46.0,40.0,78.43
1018,California Preparatory Academy,Capistrano Unified,Orange,68,3,45,5,7.0,7.0,7.0,7.0
1019,Independence High (Alternative),Roseville Joint Union High,Placer,90,4,45,2,7.0,7.0,7.0,7.0
1020,El Capitan High,Grossmont Union High,San Diego,406,103,406,101,48.0,46.6,76.0,75.25
1021,Granite Hills High,Grossmont Union High,San Diego,557,138,542,157,85.0,61.59,112.0,71.34
1022,Indian Springs High,San Bernardino City Unified,San Bernardino,382,65,426,353,10.0,15.38,43.0,12.18
1023,San Gorgonio High,San Bernardino City Unified,San Bernardino,450,170,451,350,56.0,32.94,46.0,13.14
1024,East Village High,San Diego Unified,San Diego,15,5,25,3,7.0,7.0,7.0,7.0
1025,School for Entrepreneurship and Technology,San Diego Unified,San Diego,56,18,50,6,8.0,44.44,7.0,7.0
1026,HomeTech Charter,Paradise Unified,Butte,25,0,30,1,0.0,0.0,7.0,7.0
1027,Hawthorne Math and Science Academy,Hawthorne,Los Angeles,112,64,128,106,41.0,64.06,78.0,73.58
1028,Maywood Center for Enriched Studies,Los Angeles Unified,Los Angeles,90,57,119,112,8.0,14.04,18.0,16.07
1029,Harold McAlister High (Opportunity),Los Angeles Unified,Los Angeles,43,3,28,4,7.0,7.0,7.0,7.0
1030,Robert Fulton College Preparatory,Los Angeles Unified,Los Angeles,144,57,169,180,11.0,19.3,21.0,11.67
1031,Los Altos High,Hacienda la Puente Unified,Los Angeles,411,382,404,382,97.0,25.39,86.0,22.51
1032,Encore High School for the Arts - Riverside,Riverside Unified,Riverside,95,37,111,24,9.0,24.32,15.0,62.5
1033,Sky Mountain Charter,Lucerne Valley Unified,San Bernardino,70,6,100,8,7.0,7.0,7.0,7.0
1034,KIPP King Collegiate High,San Lorenzo Unified,Alameda,144,65,159,129,27.0,41.54,91.0,70.54
1035,Gateway High (Continuation),Clovis Unified,Fresno,104,1,65,0,7.0,7.0,0.0,0.0
1036,Edgewood High,West Covina Unified,Los Angeles,192,92,199,57,41.0,44.57,38.0,66.67
1037,West Covina High,West Covina Unified,Los Angeles,514,240,506,197,122.0,50.83,127.0,64.47
1038,Canyon High,Orange Unified,Orange,572,417,506,163,249.0,59.71,138.0,84.66
1039,Orange High,Orange Unified,Orange,396,381,436,33,63.0,16.54,24.0,72.73
1040,California Virtual Academy @ San Joaquin,New Jerusalem Elementary,San Joaquin,133,7,126,11,7.0,7.0,7.0,7.0
1041,McFarland High,McFarland Unified,Kern,203,66,232,140,6.0,9.09,29.0,20.71
1042,Cheviot Hills Continuation,Los Angeles Unified,Los Angeles,25,9,35,6,7.0,7.0,7.0,7.0
1043,Grover Cleveland Charter High,Los Angeles Unified,Los Angeles,651,274,748,582,134.0,48.91,262.0,45.02
1044,Diamond Bar High,Walnut Valley Unified,Los Angeles,749,422,719,450,322.0,76.3,414.0,92.0
1045,Granite Hills High,Apple Valley Unified,San Bernardino,371,77,365,93,22.0,28.57,32.0,34.41
1046,Palomar High,Sweetwater Union High,San Diego,215,1,50,0,7.0,7.0,0.0,0.0
1047,Cerritos High,ABC Unified,Los Angeles,509,247,547,261,185.0,74.9,226.0,86.59
1048,La Mirada High,Norwalk-La Mirada Unified,Los Angeles,468,428,459,403,133.0,31.07,134.0,33.25
1049,Citrus High (Continuation),Fontana Unified,San Bernardino,181,1,96,126,7.0,7.0,0.0,0.0
1050,High Tech High North County,SBC - High Tech High,San Diego,95,58,83,55,24.0,41.38,42.0,76.36
1051,Edison High,Fresno Unified,Fresno,560,185,586,498,88.0,47.57,197.0,39.56
1052,Heartland Charter,Maricopa Unified,Kern,50,0,106,1,0.0,0.0,7.0,7.0
1053,PUC Triumph Charter Academy and PUC Triumph Charter High,Los Angeles Unified,Los Angeles,116,61,92,66,11.0,18.03,18.0,27.27
1054,Rise Kohyang High,Los Angeles Unified,Los Angeles,0,0,81,22,0.0,0.0,18.0,81.82
1055,Segerstrom High,Santa Ana Unified,Orange,457,425,654,190,126.0,29.65,112.0,58.95
1056,Middle College High,Santa Ana Unified,Orange,86,87,82,78,35.0,40.23,63.0,80.77
1057,Highlands High,Twin Rivers Unified,Sacramento,143,134,189,43,20.0,14.93,16.0,37.21
1058,Chaparral High,Snowline Joint Unified,San Bernardino,98,2,53,1,7.0,7.0,7.0,7.0
1059,Encinal Junior/Senior High,Alameda Unified,Alameda,233,92,227,76,51.0,55.43,59.0,77.63
1060,Sierra Charter,Fresno Unified,Fresno,78,5,66,0,7.0,7.0,0.0,0.0
1061,Foothill High,Kern High,Kern,471,120,513,44,35.0,29.17,24.0,54.55
1062,South El Monte High,El Monte Union High,Los Angeles,278,119,314,126,44.0,36.97,46.0,36.51
1063,Alliance Alice M. Baxter College-Ready High,Los Angeles Unified,Los Angeles,61,7,81,85,7.0,7.0,24.0,28.24
1064,Canyon High,William S. Hart Union High,Los Angeles,536,150,544,169,82.0,54.67,118.0,69.82
1065,Valencia High,William S. Hart Union High,Los Angeles,714,251,669,273,169.0,67.33,235.0,86.08
1066,Uplift California North Charter,Bradley Union Elementary,Monterey,83,1,54,2,7.0,7.0,7.0,7.0
1067,Pegasus High,East Side Union High,Santa Clara,91,0,23,2,0.0,0.0,7.0,7.0
1068,Making Waves Academy,Contra Costa County Office of Education,Contra Costa,83,77,87,86,20.0,25.97,32.0,37.21
1069,"Crenshaw Science, Technology, Engineering, Math and Medicine Magnet",Los Angeles Unified,Los Angeles,216,72,217,158,1.0,1.39,5.0,3.16
1070,Evergreen Continuation,Los Angeles Unified,Los Angeles,29,9,19,3,7.0,7.0,7.0,7.0
1071,Inspire Charter,Acton-Agua Dulce Unified,Los Angeles,133,19,148,23,6.0,31.58,14.0,60.87
1072,Napa High,Napa Valley Unified,Napa,432,155,479,235,65.0,41.94,101.0,42.98
1073,Alhambra Senior High,Martinez Unified,Contra Costa,284,79,264,82,60.0,75.95,66.0,80.49
1074,Middletown High,Middletown Unified,Lake,119,37,130,26,19.0,51.35,12.0,46.15
1075,Mt. Lassen Charter,Fort Sage Unified,Lassen,15,0,11,0,0.0,0.0,0.0,0.0
1076,Monrovia High,Monrovia Unified,Los Angeles,393,182,358,103,79.0,43.41,68.0,66.02
1077,OCCS:CHEP/PCHS,Orange County Department of Education,Orange,105,18,80,7,9.0,50.0,7.0,7.0
1078,Frontier High,Oxnard Union High,Ventura,145,81,168,44,1.0,1.23,0.0,0.0
1079,Rancho Learning Center (Alternative),Arcadia Unified,Los Angeles,21,3,6,0,7.0,7.0,0.0,0.0
1080,Sierra High,Azusa Unified,Los Angeles,101,1,80,72,7.0,7.0,0.0,0.0
1081,Elizabeth Learning Center,Los Angeles Unified,Los Angeles,129,76,203,190,9.0,11.84,11.0,5.79
1082,River Valley Charter,Lakeside Union Elementary,San Diego,50,20,55,25,17.0,85.0,23.0,92.0
1083,Capuchino High,San Mateo Union High,San Mateo,275,122,317,93,65.0,53.28,62.0,66.67
1084,San Mateo High,San Mateo Union High,San Mateo,414,143,431,221,100.0,69.93,170.0,76.92
1085,"Oakland Military Institute, College Preparatory Academy",Oakland Unified,Alameda,85,79,108,100,16.0,20.25,16.0,16.0
1086,Alliance Marc & Eva Stern Math and Science,Los Angeles Unified,Los Angeles,141,139,155,147,49.0,35.25,61.0,41.5
1087,Tamiscal High (Alternative),Tamalpais Union High,Marin,45,5,50,19,7.0,7.0,15.0,78.95
1088,Burney Junior-Senior High,Fall River Joint Unified,Shasta,31,7,28,6,7.0,7.0,7.0,7.0
1089,Roselawn High,Turlock Unified,Stanislaus,119,1,47,0,7.0,7.0,0.0,0.0
1090,Yuba County Career Preparatory Charter,Yuba County Office of Education,Yuba,102,1,69,0,7.0,7.0,0.0,0.0
1091,Golden Valley High,Merced Union High,Merced,397,145,440,93,44.0,30.34,31.0,33.33
1092,Western Center Academy,Hemet Unified,Riverside,67,67,57,40,50.0,74.63,35.0,87.5
1093,University City High,San Diego Unified,San Diego,459,196,431,212,117.0,59.69,172.0,81.13
1094,Mt. Everest Academy,San Diego Unified,San Diego,30,7,21,9,7.0,7.0,7.0,7.0
1095,Henry High,San Diego Unified,San Diego,506,225,580,311,145.0,64.44,244.0,78.46
1096,Garfield High,San Diego Unified,San Diego,208,1,53,0,7.0,7.0,0.0,0.0
1097,be.tech,Manteca Unified,San Joaquin,34,3,40,0,7.0,7.0,0.0,0.0
1098,Westmont High,Campbell Union High,Santa Clara,354,129,390,165,99.0,76.74,141.0,85.45
1099,Vanden High,Travis Unified,Solano,367,162,424,144,87.0,53.7,103.0,71.53
1100,Lynbrook High,Fremont Union High,Santa Clara,415,112,441,314,106.0,94.64,313.0,99.68
1101,Geyserville New Tech Academy,Geyserville Unified,Sonoma,10,6,12,3,7.0,7.0,7.0,7.0
1102,Saratoga High,Los Gatos-Saratoga Joint Union High,Santa Clara,321,88,364,249,83.0,94.32,242.0,97.19
1103,Theodore Bird High,Sonora Union High,Tuolumne,28,1,15,0,7.0,7.0,0.0,0.0
1104,Lemoore Middle College High,Lemoore Union High,Kings,59,39,58,36,24.0,61.54,20.0,55.56
1105,Pathway Independent Study,Lynwood Unified,Los Angeles,97,0,41,0,0.0,0.0,0.0,0.0
1106,Grand Terrace High School at the Ray Abril Jr. Educational Complex,Colton Joint Unified,San Bernardino,503,166,449,129,67.0,40.36,55.0,42.64
1107,Endeavor Alternative,Ceres Unified,Stanislaus,80,0,64,1,0.0,0.0,7.0,7.0
1108,Channel Islands High,Oxnard Union High,Ventura,611,421,665,532,76.0,18.05,87.0,16.35
1109,Rio Mesa High,Oxnard Union High,Ventura,549,352,524,403,98.0,27.84,99.0,24.57
1110,Adrian Wilcox High,Santa Clara Unified,Santa Clara,458,106,469,385,82.0,77.36,210.0,54.55
1111,Buena High,Ventura Unified,Ventura,412,110,419,75,58.0,52.73,52.0,69.33
1112,Rim of the World Senior High,Rim of the World Unified,San Bernardino,209,56,210,47,17.0,30.36,25.0,53.19
1113,Del Norte High,Poway Unified,San Diego,515,221,560,393,183.0,82.81,384.0,97.71
1114,Escalon High,Escalon Unified,San Joaquin,188,63,190,51,28.0,44.44,38.0,74.51
1115,Olive Grove Charter - Santa Barbara,SBE - Olive Grove Charter - Santa Barbara,Santa Barbara,53,0,60,1,0.0,0.0,7.0,7.0
1116,Pioneer Continuation High,Shasta Union High,Shasta,93,1,77,0,7.0,7.0,0.0,0.0
1117,Inspire Charter School - North,Winship-Robbins,Sutter,78,9,101,5,7.0,7.0,7.0,7.0
1118,Monte Vista High,Grossmont Union High,San Diego,456,114,391,96,72.0,63.16,57.0,59.38
1119,County Collaborative Charter,Mountain Empire Unified,San Diego,39,3,15,1,7.0,7.0,7.0,7.0
1120,Oakdale Charter,Oakdale Joint Unified,Stanislaus,15,2,17,4,7.0,7.0,7.0,7.0
1121,Oakdale High,Oakdale Joint Unified,Stanislaus,350,90,372,113,59.0,65.56,79.0,69.91
1122,Burbank Unified Independent Learning Academy (BUILA),Burbank Unified,Los Angeles,29,1,25,1,7.0,7.0,7.0,7.0
1123,Ramon C. Cortines School of Visual and Performing Arts,Los Angeles Unified,Los Angeles,342,211,326,289,62.0,29.38,62.0,21.45
1124,Dorothy V. Johnson Community Day,Los Angeles Unified,Los Angeles,21,6,15,5,7.0,7.0,7.0,7.0
1125,Ganesha High,Pomona Unified,Los Angeles,207,66,255,51,7.0,10.61,12.0,23.53
1126,Diamond Ranch High,Pomona Unified,Los Angeles,377,211,399,167,85.0,40.28,96.0,57.49
1127,Ukiah High,Ukiah Unified,Mendocino,365,81,375,81,49.0,60.49,61.0,75.31
1128,Santiago High,Garden Grove Unified,Orange,533,246,483,225,68.0,27.64,86.0,38.22
1129,American Legion High (Continuation),Sacramento City Unified,Sacramento,145,0,41,32,0.0,0.0,0.0,0.0
1130,Insight School of California,Maricopa Unified,Kern,179,1,124,0,7.0,7.0,0.0,0.0
1131,PUC CALS Middle School and Early College High,Los Angeles Unified,Los Angeles,58,36,69,49,13.0,36.11,11.0,22.45
1132,Greenfield High,South Monterey County Joint Union High,Monterey,268,106,295,27,8.0,7.55,10.0,37.04
1133,Parkview,Placentia-Yorba Linda Unified,Orange,23,5,27,7,7.0,7.0,7.0,7.0
1134,Cesar E. Chavez High,Santa Ana Unified,Orange,286,48,95,1,1.0,2.08,7.0,7.0
1135,SAVA - Sacramento Academic and Vocational Academy,Twin Rivers Unified,Sacramento,7,1,12,1,7.0,7.0,7.0,7.0
1136,Elwood J. Keema High,Twin Rivers Unified,Sacramento,146,27,83,1,0.0,0.0,7.0,7.0
1137,Impact Academy of Arts & Technology,Hayward Unified,Alameda,102,54,121,96,21.0,38.89,38.0,39.58
1138,McKinleyville High,Northern Humboldt Union High,Humboldt,143,35,116,34,24.0,68.57,24.0,70.59
1139,Hoopa Valley High,Klamath-Trinity Joint Unified,Humboldt,52,9,64,9,7.0,7.0,7.0,7.0
1140,International Polytechnic High,Los Angeles County Office of Education,Los Angeles,131,75,131,62,49.0,65.33,52.0,83.87
1141,Middle College High,Los Angeles Unified,Los Angeles,88,66,91,91,17.0,25.76,22.0,24.18
1142,North Area Community,Sacramento County Office of Education,Sacramento,55,1,5,0,7.0,7.0,0.0,0.0
1143,Fowler High,Fowler Unified,Fresno,203,76,156,94,18.0,23.68,26.0,27.66
1144,Erma Duncan Polytechnical High,Fresno Unified,Fresno,210,55,278,256,7.0,12.73,24.0,9.38
1145,Cambridge Continuation High,Fresno Unified,Fresno,277,0,204,11,0.0,0.0,7.0,7.0
1146,Liberty High,Kern High,Kern,540,195,504,125,134.0,68.72,92.0,73.6
1147,Mountain View High,El Monte Union High,Los Angeles,330,85,281,76,26.0,30.59,35.0,46.05
1148,Humanities and Arts (HARTS) Academy of Los Angeles,Los Angeles Unified,Los Angeles,105,31,104,96,9.0,29.03,7.0,7.29
1149,Camino Nuevo High #2,Los Angeles Unified,Los Angeles,112,68,116,89,10.0,14.71,12.0,13.48
1150,Mission View Public,William S. Hart Union High,Los Angeles,50,2,91,0,7.0,7.0,0.0,0.0
1151,Mammoth High,Mammoth Unified,Mono,98,26,84,17,15.0,57.69,13.0,76.47
1152,Vista del Lago High,Moreno Valley Unified,Riverside,450,413,486,110,74.0,17.92,42.0,38.18
1153,Natomas High,Natomas Unified,Sacramento,243,78,268,228,12.0,15.38,26.0,11.4
1154,Jane Addams Continuation,Los Angeles Unified,Los Angeles,40,2,41,1,7.0,7.0,7.0,7.0
1155,Mountain Heights Academy,San Jacinto Unified,Riverside,55,0,45,0,0.0,0.0,0.0,0.0
1156,Rancho Buena Vista High,Vista Unified,San Diego,484,142,483,131,95.0,66.9,101.0,77.1
1157,LIFE Academy,Oakland Unified,Alameda,65,39,66,18,15.0,38.46,7.0,38.89
1158,Animo Watts College Preparatory Academy,Los Angeles Unified,Los Angeles,128,44,127,119,11.0,25.0,8.0,6.72
1159,Hillcrest High,Alvord Unified,Riverside,391,123,415,354,55.0,44.72,124.0,35.03
1160,Alvord Continuation High,Alvord Unified,Riverside,108,10,57,48,7.0,7.0,0.0,0.0
1161,Rosemont High,Sacramento City Unified,Sacramento,300,67,297,256,37.0,55.22,71.0,27.73
1162,High Tech High International,San Diego Unified,San Diego,98,77,98,60,37.0,48.05,29.0,48.33
1163,Washington High,Washington Unified,Fresno,240,82,260,148,8.0,9.76,35.0,23.65
1164,Hamilton High,Hamilton Unified,Glenn,86,25,48,24,4.0,16.0,7.0,29.17
1165,Liberty High,Golden Valley Unified,Madera,138,47,132,32,21.0,44.68,23.0,71.88
1166,SAVA - Sacramento Academic and Vocational Academy - EGUSD,Elk Grove Unified,Sacramento,82,2,72,1,7.0,7.0,7.0,7.0
1167,El Cajon Valley High,Grossmont Union High,San Diego,553,85,371,83,42.0,49.41,19.0,22.89
1168,Washington (George) High,San Francisco Unified,San Francisco,489,279,500,244,172.0,61.65,181.0,74.18
1169,New Millennium Secondary,Los Angeles Unified,Los Angeles,42,31,40,7,3.0,9.68,7.0,7.0
1170,UCLA Community K-12,Los Angeles Unified,Los Angeles,91,54,113,117,21.0,38.89,32.0,27.35
1171,Vista del Lago High,Folsom-Cordova Unified,Sacramento,441,159,475,276,130.0,81.76,253.0,91.67
1172,Mojave River Academy - Oro Grande,Oro Grande,San Bernardino,160,0,119,0,0.0,0.0,0.0,0.0
1173,Morningside High,Inglewood Unified,Los Angeles,193,59,170,23,5.0,8.47,4.0,17.39
1174,Glen A. Wilson High,Hacienda la Puente Unified,Los Angeles,355,329,386,358,152.0,46.2,190.0,53.07
1175,Martin Luther King Jr. High,Riverside Unified,Riverside,759,336,711,276,213.0,63.39,230.0,83.33
1176,Elite Academic Academy - Adult Work Force Investment,Lucerne Valley Unified,San Bernardino,70,0,0,0,0.0,0.0,0.0,0.0
1177,Colusa High,Colusa Unified,Colusa,81,14,99,38,7.0,7.0,24.0,63.16
1178,Birmingham Community Charter High,Los Angeles Unified,Los Angeles,798,698,744,639,139.0,19.91,150.0,23.47
1179,Albert Einstein Continuation,Los Angeles Unified,Los Angeles,19,2,16,31,7.0,7.0,1.0,3.23
1180,San Pasqual Academy,San Diego County Office of Education,San Diego,32,10,20,4,7.0,7.0,7.0,7.0
1181,Pacific Beach High,San Luis Coastal Unified,San Luis Obispo,24,0,14,1,0.0,0.0,7.0,7.0
1182,Independence High,Liberty Union High,Contra Costa,169,7,65,2,7.0,7.0,7.0,7.0
1183,Bell Gardens High,Montebello Unified,Los Angeles,653,196,637,160,49.0,25.0,45.0,28.13
1184,Ortega High,Lake Elsinore Unified,Riverside,233,3,89,1,7.0,7.0,7.0,7.0
1185,Great Oak High,Temecula Valley Unified,Riverside,756,349,776,390,235.0,67.34,311.0,79.74
1186,Rancho Cucamonga High,Chaffey Joint Union High,San Bernardino,798,407,862,398,195.0,47.91,275.0,69.1
1187,Pacific View Charter,Oceanside Unified,San Diego,153,7,144,3,7.0,7.0,7.0,7.0
1188,Downtown College Preparatory,San Jose Unified,Santa Clara,85,56,103,79,3.0,5.36,7.0,8.86
1189,Pioneer High,San Jose Unified,Santa Clara,381,96,423,383,63.0,65.63,248.0,64.75
1190,Eunice Sato Academy of Math & Science,Long Beach Unified,Los Angeles,103,79,95,93,69.0,87.34,80.0,86.02
1191,Ramona Opportunity High,Los Angeles Unified,Los Angeles,8,0,13,14,0.0,0.0,7.0,7.0
1192,Northwood High,Irvine Unified,Orange,623,226,519,247,208.0,92.04,239.0,96.76
1193,San Marcos High,San Marcos Unified,San Diego,748,307,835,376,193.0,62.87,282.0,75.0
1194,Aspire East Palo Alto Charter,Ravenswood City Elementary,San Mateo,20,0,0,0,0.0,0.0,0.0,0.0
1195,Mission Early College High,Santa Clara Unified,Santa Clara,36,9,37,40,7.0,7.0,22.0,55.0
1196,Clovis High,Clovis Unified,Fresno,733,243,659,329,115.0,47.33,198.0,60.18
1197,Math and Science College Preparatory,Los Angeles Unified,Los Angeles,155,27,135,132,13.0,48.15,37.0,28.03
1198,Stockton High,Stockton Unified,San Joaquin,159,0,34,0,0.0,0.0,0.0,0.0
1199,Engineering and Technology Academy at Esteban E. Torres High No. 3,Los Angeles Unified,Los Angeles,72,48,79,77,3.0,6.25,8.0,10.39
1200,Summit High (Continuation),Desert Sands Unified,Riverside,217,4,86,67,7.0,7.0,0.0,0.0
1201,Amistad High (Continuation),Desert Sands Unified,Riverside,137,0,70,63,0.0,0.0,0.0,0.0
1202,Pacific High,San Bernardino City Unified,San Bernardino,263,87,267,181,13.0,14.94,21.0,11.6
1203,High Tech High Media Arts,San Diego Unified,San Diego,90,47,97,61,13.0,27.66,33.0,54.1
1204,King-Chavez Community High,San Diego Unified,San Diego,87,34,103,30,0.0,0.0,4.0,13.33
1205,Middle College High,Lodi Unified,San Joaquin,61,43,64,44,35.0,81.4,41.0,93.18
1206,Red Bluff High,Red Bluff Joint Union High,Tehama,320,46,381,70,29.0,63.04,48.0,68.57
1207,Public Service Community at Diego Rivera Learning Complex,Los Angeles Unified,Los Angeles,141,33,120,104,2.0,6.06,13.0,12.5
1208,Independence High (Alternative),Merced Union High,Merced,22,0,15,1,0.0,0.0,7.0,7.0
1209,Rio Americano High,San Juan Unified,Sacramento,385,138,475,198,90.0,65.22,162.0,81.82
1210,Weber Institute,Stockton Unified,San Joaquin,108,30,95,30,8.0,26.67,9.0,30.0
1211,Alpha Cindy Avitia High,East Side Union High,Santa Clara,89,88,80,74,39.0,44.32,17.0,22.97
1212,Vallejo High,Vallejo City Unified,Solano,361,69,415,48,13.0,18.84,11.0,22.92
1213,Laguna High,West Sonoma County Union High,Sonoma,44,1,25,0,7.0,7.0,0.0,0.0
1214,El Molino High,West Sonoma County Union High,Sonoma,131,43,154,48,28.0,65.12,40.0,83.33
1215,Gilroy High,Gilroy Unified,Santa Clara,374,126,402,125,50.0,39.68,68.0,54.4
1216,Granite Hills High,Porterville Unified,Tulare,302,67,294,82,11.0,16.42,26.0,31.71
1217,Monache High,Porterville Unified,Tulare,464,112,460,107,41.0,36.61,55.0,51.4
1218,Strathmore High,Porterville Unified,Tulare,78,11,95,11,7.0,7.0,7.0,7.0
1219,Dinuba High,Dinuba Unified,Tulare,423,115,478,93,35.0,30.43,44.0,47.31
1220,Live Oak High,Morgan Hill Unified,Santa Clara,261,96,292,95,58.0,60.42,67.0,70.53
1221,Healdsburg High,Healdsburg Unified,Sonoma,139,47,125,49,28.0,59.57,29.0,59.18
1222,Windsor High,Windsor Unified,Sonoma,394,140,429,153,75.0,53.57,98.0,64.05
1223,Condor High,Oxnard Union High,Ventura,214,61,248,58,2.0,3.28,1.0,1.72
1224,Oxnard High,Oxnard Union High,Ventura,596,395,686,571,103.0,26.08,144.0,25.22
1225,Escondido Charter High,Escondido Union High,San Diego,210,73,207,74,52.0,71.23,57.0,77.03
1226,Connecting Waters Charter School - Central Valley,Modesto City Elementary,Stanislaus,3,3,8,2,7.0,7.0,7.0,7.0
1227,Rancho del Mar High (Continuation),Palos Verdes Peninsula Unified,Los Angeles,24,1,19,0,7.0,7.0,0.0,0.0
1228,Greater San Diego Academy,Jamul-Dulzura Union Elementary,San Diego,8,2,14,3,7.0,7.0,7.0,7.0
1229,Balboa High,San Francisco Unified,San Francisco,306,159,293,126,79.0,49.69,90.0,71.43
1230,Gateway High,San Francisco Unified,San Francisco,112,64,118,64,24.0,37.5,34.0,53.13
1231,Fred C. Beyer High,Modesto City High,Stanislaus,397,101,395,66,56.0,55.45,44.0,66.67
1232,Ceiba College Preparatory Academy,Pajaro Valley Unified,Santa Cruz,63,34,57,53,6.0,17.65,12.0,22.64
1233,Rancho Bernardo High,Poway Unified,San Diego,597,272,600,342,212.0,77.94,307.0,89.77
1234,Tehama eLearning Academy,Tehama County Department of Education,Tehama,25,1,28,0,7.0,7.0,0.0,0.0
1235,Anderson High,Anderson Union High,Shasta,128,17,123,19,9.0,52.94,7.0,36.84
1236,Marysville Charter Academy for the Arts,Marysville Joint Unified,Yuba,56,31,58,14,17.0,54.84,7.0,7.0
1237,Big Pine High,Big Pine Unified,Inyo,7,5,4,2,7.0,7.0,7.0,7.0
1238,New Opportunities Charter,Centinela Valley Union High,Los Angeles,78,0,43,0,0.0,0.0,0.0,0.0
1239,R. K. Lloyde High,Centinela Valley Union High,Los Angeles,203,0,52,1,0.0,0.0,7.0,7.0
1240,Leuzinger High,Centinela Valley Union High,Los Angeles,415,170,505,262,33.0,19.41,69.0,26.34
1241,Bridges Community Day,Charter Oak Unified,Los Angeles,0,0,2,1,0.0,0.0,7.0,7.0
1242,Daniel Pearl Journalism & Communications Magnet,Los Angeles Unified,Los Angeles,71,42,88,87,20.0,47.62,27.0,31.03
1243,Garey High,Pomona Unified,Los Angeles,399,125,422,109,37.0,29.6,37.0,33.94
1244,Pacific Community Charter,Arena Union Elementary,Mendocino,4,1,6,2,7.0,7.0,7.0,7.0
1245,Fullerton Union High,Fullerton Joint Union High,Orange,467,152,494,151,78.0,51.32,102.0,67.55
1246,Banning High,Banning Unified,Riverside,218,72,231,63,24.0,33.33,26.0,41.27
1247,Circle of Independent Learning,Fremont Unified,Alameda,71,9,57,6,7.0,7.0,7.0,7.0
1248,Washington High,Fremont Unified,Alameda,457,180,475,219,134.0,74.44,201.0,91.78
1249,Prospect High (Continuation),Mt. Diablo Unified,Contra Costa,37,0,17,1,0.0,0.0,7.0,7.0
1250,Kerman High,Kerman Unified,Fresno,382,102,340,139,37.0,36.27,37.0,26.62
1251,Renaissance High School for the Arts,Long Beach Unified,Los Angeles,99,61,110,100,15.0,24.59,16.0,16.0
1252,Colony High,Chaffey Joint Union High,San Bernardino,539,213,533,177,71.0,33.33,103.0,58.19
1253,Street Academy (Alternative),Oakland Unified,Alameda,23,9,40,28,7.0,7.0,1.0,3.57
1254,Eureka Senior High,Eureka City Schools,Humboldt,266,58,257,56,32.0,55.17,34.0,60.71
1255,Opportunities for Learning - Baldwin Park,Baldwin Park Unified,Los Angeles,613,145,829,144,23.0,15.86,28.0,19.44
1256,Bassett Senior High,Bassett Unified,Los Angeles,254,91,225,57,29.0,31.87,21.0,36.84
1257,Zupanic High,Rialto Unified,San Bernardino,47,0,16,0,0.0,0.0,0.0,0.0
1258,Kearny Eng Innov & Design,San Diego Unified,San Diego,60,34,86,26,13.0,38.24,12.0,46.15
