,school,district,county,enroll_12,num_takers_12,enroll_11,num_takers_11,benchmark_12,percent_12,benchmark_11,percent_11
1695,Valley High (Continuation),Escondido Union High,San Diego,217,0,65,1,0.0,0.0,7.0,7.0
1696,Valhalla High,Grossmont Union High,San Diego,565,148,433,167,88.0,59.46,145.0,86.83
1697,Chaparral High,Grossmont Union High,San Diego,16,2,24,0,7.0,7.0,0.0,0.0
1698,Grossmont High,Grossmont Union High,San Diego,539,141,518,178,83.0,58.87,127.0,71.35
1699,Family Partnership Charter,Blochman Union Elementary,Santa Barbara,47,2,52,0,7.0,7.0,0.0,0.0
1700,Loyalton High,Sierra-Plumas Joint Unified,Sierra,19,5,28,13,7.0,7.0,7.0,7.0
1701,Elise P. Buckingham Charter Magnet High,Vacaville Unified,Solano,121,38,134,60,22.0,57.89,52.0,86.67
1702,Esperanza High (Continuation),Gridley Unified,Butte,17,1,13,0,7.0,7.0,0.0,0.0
1703,Piedmont Hills High,East Side Union High,Santa Clara,480,238,490,447,178.0,74.79,302.0,67.56
1704,Sierra Vista Charter High,Tulare Joint Union High,Tulare,26,0,35,0,0.0,0.0,0.0,0.0
1705,Elsie Allen High,Santa Rosa High,Sonoma,225,40,267,28,5.0,12.5,10.0,35.71
1706,Pescadero High,La Honda-Pescadero Unified,San Mateo,21,8,22,17,7.0,7.0,13.0,76.47
1707,Life Learning Academy Charter,San Francisco Unified,San Francisco,6,0,18,0,0.0,0.0,0.0,0.0
1708,Milpitas High,Milpitas Unified,Santa Clara,762,335,789,378,249.0,74.33,328.0,86.77
1709,Cypress Charter High,Live Oak Elementary,Santa Cruz,30,6,36,23,7.0,7.0,14.0,60.87
1710,Sutter Peak Charter Academy,Nuestro Elementary,Sutter,20,0,24,0,0.0,0.0,0.0,0.0
1711,Delta Charter,Santa Cruz City High,Santa Cruz,66,5,34,1,7.0,7.0,7.0,7.0
1712,Shasta County Independent Study Charter,Shasta County Office of Education,Shasta,53,0,40,0,0.0,0.0,0.0,0.0
1713,Washington Middle College High,Washington Unified,Yolo,11,1,7,3,7.0,7.0,7.0,7.0
1714,Liberty Ranch High,Galt Joint Union High,Sacramento,315,140,276,60,73.0,52.14,38.0,63.33
1715,Galt High,Galt Joint Union High,Sacramento,215,74,234,26,26.0,35.14,14.0,53.85
1716,Citrus Valley High,Redlands Unified,San Bernardino,490,306,505,413,143.0,46.73,185.0,44.79
1717,Rialto High,Rialto Unified,San Bernardino,611,170,739,650,72.0,42.35,138.0,21.23
1718,Learning Choice Academy,San Diego Unified,San Diego,54,15,71,13,6.0,40.0,7.0,7.0
1719,Valley Oak Continuation High,Live Oak Unified,Sutter,5,0,20,1,0.0,0.0,7.0,7.0
1720,Live Oak High,Live Oak Unified,Sutter,129,36,129,52,11.0,30.56,22.0,42.31
1721,Marysville High,Marysville Joint Unified,Yuba,173,50,239,34,26.0,52.0,23.0,67.65
1722,Castro Valley High,Castro Valley Unified,Alameda,644,311,696,350,234.0,75.24,293.0,83.71
1723,Contra Costa School of Performing Arts,Contra Costa County Office of Education,Contra Costa,16,0,43,0,0.0,0.0,0.0,0.0
1724,California Academy of Sports Science Fresno,Raisin City Elementary,Fresno,15,0,15,0,0.0,0.0,0.0,0.0
1725,Odyssey Continuation,Los Angeles Unified,Los Angeles,23,1,30,31,7.0,7.0,1.0,3.23
1726,Susan Miller Dorsey Senior High,Los Angeles Unified,Los Angeles,230,93,223,127,4.0,4.3,7.0,5.51
1727,Boyle Heights Continuation,Los Angeles Unified,Los Angeles,8,0,15,17,0.0,0.0,0.0,0.0
1728,James A. Garfield Senior High,Los Angeles Unified,Los Angeles,581,318,627,602,91.0,28.62,137.0,22.76
1729,Community Collaborative Charter,Acton-Agua Dulce Unified,Los Angeles,91,4,41,4,7.0,7.0,7.0,7.0
1730,Brawley Union High,Brawley Union High,Imperial,373,131,384,163,37.0,28.24,64.0,39.26
1731,East Valley Senior High,Los Angeles Unified,Los Angeles,141,82,132,103,7.0,8.54,5.0,4.85
1732,San Rafael High,San Rafael City High,Marin,296,119,339,122,71.0,59.66,88.0,72.13
1733,Sir Francis Drake High,Tamalpais Union High,Marin,308,102,309,156,80.0,78.43,133.0,85.26
1734,Quincy Junior/Senior High,Plumas Unified,Plumas,41,8,42,20,7.0,7.0,16.0,80.0
1735,Crescent View South II,Westside Elementary,Fresno,66,8,248,1,7.0,7.0,7.0,7.0
1736,California Academy of Mathematics and Science,Long Beach Unified,Los Angeles,164,143,165,156,136.0,95.1,149.0,95.51
1737,Cabrillo High,Long Beach Unified,Los Angeles,531,448,544,473,52.0,11.61,43.0,9.09
1738,WESM Health/Sports Medicine,Los Angeles Unified,Los Angeles,182,106,236,180,29.0,27.36,39.0,21.67
1739,Independence High (Alternative),Alhambra Unified,Los Angeles,52,1,17,0,7.0,7.0,0.0,0.0
1740,Portola High,Irvine Unified,Orange,0,0,439,259,0.0,0.0,240.0,92.66
1741,Vista Murrieta High,Murrieta Valley Unified,Riverside,884,382,858,368,197.0,51.57,254.0,69.02
1742,Colton High,Colton Joint Unified,San Bernardino,445,86,474,195,24.0,27.91,49.0,25.13
1743,Brenkwitz High,Hayward Unified,Alameda,132,1,27,0,7.0,7.0,0.0,0.0
1744,Leadership Public Schools: Richmond,West Contra Costa Unified,Contra Costa,149,100,149,134,23.0,23.0,34.0,25.37
1745,Da Vinci RISE High,Los Angeles County Office of Education,Los Angeles,45,0,43,0,0.0,0.0,0.0,0.0
1746,Tracy (Wilbur) High (Continuation),ABC Unified,Los Angeles,147,1,78,0,7.0,7.0,0.0,0.0
1747,Whitney (Gretchen) High,ABC Unified,Los Angeles,165,80,165,123,79.0,98.75,122.0,99.19
1748,Aggeler Community Day,Los Angeles Unified,Los Angeles,30,0,9,2,0.0,0.0,7.0,7.0
1749,Dr. Richard A. Vladovic Harbor Teacher Preparation Academy,Los Angeles Unified,Los Angeles,118,97,105,103,62.0,63.92,87.0,84.47
1750,Camino Nuevo Charter High,Los Angeles Unified,Los Angeles,86,70,67,48,3.0,4.29,6.0,12.5
1751,Furman (Duane E.) High (Independent Study Program),Madera Unified,Madera,92,1,64,0,7.0,7.0,0.0,0.0
1752,Western High,Anaheim Union High,Orange,498,97,503,104,30.0,30.93,62.0,59.62
1753,Chico High,Chico Unified,Butte,475,135,447,125,89.0,65.93,107.0,85.6
1754,School of Unlimited Learning,Fresno Unified,Fresno,66,0,47,1,0.0,0.0,7.0,7.0
1755,Valencia High,Placentia-Yorba Linda Unified,Orange,663,217,655,265,143.0,65.9,210.0,79.25
1756,Moreno Valley Online Academy,Moreno Valley Unified,Riverside,76,18,28,2,0.0,0.0,7.0,7.0
1757,Moreno Valley High,Moreno Valley Unified,Riverside,540,472,566,279,55.0,11.65,57.0,20.43
1758,Inderkum High,Natomas Unified,Sacramento,471,221,583,529,81.0,36.65,188.0,35.54
1759,Options for Youth-Victorville Charter,Victor Valley Union High,San Bernardino,121,25,167,19,1.0,4.0,4.0,21.05
1760,Valley International Preparatory High,Los Angeles Unified,Los Angeles,71,38,57,29,18.0,47.37,21.0,72.41
1761,Community High (Continuation),Pacific Grove Unified,Monterey,13,1,6,0,7.0,7.0,0.0,0.0
1762,Pacific Grove High,Pacific Grove Unified,Monterey,138,62,149,78,48.0,77.42,73.0,93.59
1763,Salinas High,Salinas Union High,Monterey,646,212,625,197,83.0,39.15,119.0,60.41
1764,Scholar Plus Online Learning,Perris Union High,Riverside,18,0,21,0,0.0,0.0,0.0,0.0
1765,Upland High,Upland Unified,San Bernardino,764,296,822,301,142.0,47.97,206.0,68.44
1766,Tracy High,Tracy Joint Unified,San Joaquin,455,147,552,137,79.0,53.74,99.0,72.26
1767,El Modena High,Orange Unified,Orange,526,492,502,83,150.0,30.49,64.0,77.11
1768,Santa Rosa Academy,Menifee Union Elementary,Riverside,113,52,120,28,28.0,53.85,20.0,71.43
1769,Delta Keys Charter #2,New Jerusalem Elementary,San Joaquin,108,0,68,0,0.0,0.0,0.0,0.0
1770,Culver Park High,Culver City Unified,Los Angeles,26,1,12,0,7.0,7.0,0.0,0.0
1771,Sonia Sotomayor Arts and Sciences Academies,Los Angeles Unified,Los Angeles,108,84,115,102,9.0,10.71,8.0,7.84
1772,North High,Torrance Unified,Los Angeles,448,169,432,132,106.0,62.72,101.0,76.52
1773,West High,Torrance Unified,Los Angeles,495,182,507,250,142.0,78.02,233.0,93.2
1774,Helen Hunt Jackson College Prep High,Hemet Unified,Riverside,102,42,83,2,4.0,9.52,7.0,7.0
1775,Meraki High,San Juan Unified,Sacramento,0,0,24,1,0.0,0.0,7.0,7.0
1776,Mira Mesa High,San Diego Unified,San Diego,620,254,556,242,158.0,62.2,191.0,78.93
1777,Lathrop High,Manteca Unified,San Joaquin,321,124,297,64,34.0,27.42,29.0,45.31
1778,Crossroads Alternative Education Center,Los Banos Unified,Merced,35,0,40,0,0.0,0.0,0.0,0.0
1779,Health Sciences High,San Diego Unified,San Diego,141,58,138,57,10.0,17.24,27.0,47.37
1780,Mojave Jr./Sr. High,Mojave Unified,Kern,36,3,33,4,7.0,7.0,7.0,7.0
1781,University Preparatory Value High,Los Angeles Unified,Los Angeles,113,97,114,102,14.0,14.43,15.0,14.71
1782,Shadow Ridge,Hesperia Unified,San Bernardino,22,3,20,1,7.0,7.0,7.0,7.0
1783,Fremont High,Fremont Union High,Santa Clara,508,156,500,228,106.0,67.95,168.0,73.68
1784,Homestead High,Fremont Union High,Santa Clara,605,179,602,334,158.0,88.27,322.0,96.41
1785,Pivot Charter School - North Bay,Oak Grove Union Elementary,Sonoma,60,0,73,0,0.0,0.0,0.0,0.0
1786,College Park High,Mt. Diablo Unified,Contra Costa,443,162,486,197,127.0,78.4,165.0,83.76
1787,Caruthers High,Caruthers Unified,Fresno,145,57,159,67,12.0,21.05,14.0,20.9
1788,Applied Technology Center,Montebello Unified,Los Angeles,123,77,137,62,15.0,19.48,27.0,43.55
1789,Schurr High,Montebello Unified,Los Angeles,619,214,719,235,84.0,39.25,112.0,47.66
1790,EPIC Charter (Excellence Performance Innovation Citizenship),Orange County Department of Education,Orange,19,0,48,1,0.0,0.0,7.0,7.0
1791,CORE Placer Charter,Placer County Office of Education,Placer,49,3,29,2,7.0,7.0,7.0,7.0
1792,Ontario High,Chaffey Joint Union High,San Bernardino,588,205,595,167,59.0,28.78,75.0,44.91
1793,Oceanside High,Oceanside Unified,San Diego,530,132,538,101,55.0,41.67,60.0,59.41
1794,California Virtual Academy San Mateo,Jefferson Elementary,San Mateo,94,10,142,3,7.0,7.0,7.0,7.0
1795,W.E.B. DuBois Public Charter,Washington Unified,Fresno,74,0,27,0,0.0,0.0,0.0,0.0
1796,Orland High,Orland Joint Unified,Glenn,166,32,196,34,14.0,43.75,17.0,50.0
1797,Los Angeles International Charter High,Los Angeles County Office of Education,Los Angeles,51,32,43,0,1.0,3.13,0.0,0.0
1798,Junipero Serra High,Capistrano Unified,Orange,89,1,59,4,7.0,7.0,7.0,7.0
1799,Antelope High,Roseville Joint Union High,Placer,442,193,432,128,96.0,49.74,82.0,64.06
1800,Laguna Creek High,Elk Grove Unified,Sacramento,451,175,459,192,101.0,57.71,150.0,78.13
1801,Empire Springs Charter,Helendale Elementary,San Bernardino,54,0,47,5,0.0,0.0,7.0,7.0
1802,West Hills High,Grossmont Union High,San Diego,421,132,421,137,90.0,68.18,107.0,78.1
1803,Aptos High,Pajaro Valley Unified,Santa Cruz,335,121,342,146,82.0,67.77,113.0,77.4
1804,Las Flores Home Education Independent Study Academy,Bellflower Unified,Los Angeles,3,0,10,2,0.0,0.0,7.0,7.0
1805,Folsom Lake High,Folsom-Cordova Unified,Sacramento,66,1,23,0,7.0,7.0,0.0,0.0
1806,Mountain View (Alternative),Kings Canyon Joint Unified,Fresno,38,1,56,0,7.0,7.0,0.0,0.0
1807,Wasco Independence High,Wasco Union High,Kern,62,1,22,0,7.0,7.0,0.0,0.0
1808,Simon Rodia Continuation,Los Angeles Unified,Los Angeles,30,0,91,15,0.0,0.0,0.0,0.0
1809,Independence Continuation,Los Angeles Unified,Los Angeles,32,1,35,0,7.0,7.0,0.0,0.0
1810,Southwest Senior High,Sweetwater Union High,San Diego,482,160,480,141,33.0,20.63,42.0,29.79
1811,Castle Park Senior High,Sweetwater Union High,San Diego,447,112,405,59,37.0,33.04,23.0,38.98
1812,Options Secondary,Sweetwater Union High,San Diego,22,7,24,7,7.0,7.0,7.0,7.0
1813,Valley Oaks High (Alternative),Petaluma Joint Union High,Sonoma,19,0,9,1,0.0,0.0,7.0,7.0
1814,Exeter Union High,Exeter Unified,Tulare,187,50,215,53,15.0,30.0,28.0,52.83
1815,Calero High,East Side Union High,Santa Clara,257,24,62,58,1.0,4.17,4.0,6.9
1816,Latino College Preparatory Academy,East Side Union High,Santa Clara,93,54,104,33,10.0,18.52,11.0,33.33
1817,Visalia Technical Early College,Visalia Unified,Tulare,70,21,61,8,7.0,33.33,7.0,7.0
1818,Foothill High,Tustin Unified,Orange,542,219,613,308,147.0,67.12,237.0,76.95
1819,Adolfo Camarillo High,Oxnard Union High,Ventura,507,352,574,450,184.0,52.27,260.0,57.78
1820,Eric Birch High (Continuation),Fontana Unified,San Bernardino,142,1,100,97,7.0,7.0,1.0,1.03
1821,Audeo Charter School III,Escondido Union High,San Diego,26,0,9,1,0.0,0.0,7.0,7.0
1822,San Pasqual High,Escondido Union High,San Diego,518,192,514,144,95.0,49.48,90.0,62.5
1823,Bonsall High,Bonsall Unified,San Diego,66,36,76,27,13.0,36.11,19.0,70.37
1824,Alder Grove Charter School 2,South Bay Union Elementary,Humboldt,51,7,47,12,7.0,7.0,7.0,7.0
1825,Academies of the Antelope Valley,Antelope Valley Union High,Los Angeles,14,1,34,20,7.0,7.0,4.0,20.0
1826,Palmdale High,Antelope Valley Union High,Los Angeles,621,108,599,428,17.0,15.74,41.0,9.58
1827,Desert Sands Charter,Antelope Valley Union High,Los Angeles,88,4,204,2,7.0,7.0,7.0,7.0
1828,Marin Oaks High,Novato Unified,Marin,53,1,18,1,7.0,7.0,7.0,7.0
1829,Opportunities for Learning - Capistrano,Capistrano Unified,Orange,14,4,32,7,7.0,7.0,7.0,7.0
1830,Whitney High,Rocklin Unified,Placer,458,176,465,205,133.0,75.57,178.0,86.83
