,school,district,county,enroll_12,num_takers_12,avg_score_read,avg_score_eng,avg_score_math,avg_score_sci,num_above_benchmark,percent_above_benchmark
1013,Mojave High,Hesperia Unified,San Bernardino,149,1,7,7,7,7,7,7.0
1014,Mojave Jr./Sr. High,Mojave Unified,Kern,36,27,16,13,16,16,2,7.41
1015,Mojave River Academy - Gold Canyon,Oro Grande,San Bernardino,27,0,0,0,0,0,0,0.0
1016,Mojave River Academy - Marble City,Oro Grande,San Bernardino,24,0,0,0,0,0,0,0.0
1017,Mojave River Academy - National Trails,Oro Grande,San Bernardino,92,0,0,0,0,0,0,0.0
1018,Mojave River Academy - Oro Grande,Oro Grande,San Bernardino,160,0,0,0,0,0,0,0.0
1019,Mojave River Academy - Rockview Park,Oro Grande,San Bernardino,23,0,0,0,0,0,0,0.0
1020,Mojave River Academy - Route 66,Oro Grande,San Bernardino,111,0,0,0,0,0,0,0.0
1021,Mojave River Academy - Silver Mountain,Oro Grande,San Bernardino,86,0,0,0,0,0,0,0.0
1022,Monache High,Porterville Unified,Tulare,464,105,19,17,18,19,30,28.57
1023,Monarch,San Diego County Office of Education,San Diego,22,1,7,7,7,7,7,7.0
1024,Monrovia High,Monrovia Unified,Los Angeles,393,53,21,19,19,19,16,30.19
1025,Monta Vista High,Fremont Union High,Santa Clara,584,212,31,32,32,31,206,97.17
1026,Montclair High,Chaffey Joint Union High,San Bernardino,705,257,19,17,19,19,80,31.13
1027,Monte Vista,Simi Valley Unified,Ventura,73,3,7,7,7,7,7,7.0
1028,Monte Vista High,Grossmont Union High,San Diego,456,22,26,24,25,24,15,68.18
1029,Monte Vista High,Newport-Mesa Unified,Orange,35,1,7,7,7,7,7,7.0
1030,Monte Vista High,San Ramon Valley Unified,Contra Costa,597,293,27,27,26,26,263,89.76
1031,Montebello High,Montebello Unified,Los Angeles,628,35,18,18,19,18,9,25.71
1032,Monterey County Home Charter,Monterey County Office of Education,Monterey,79,1,7,7,7,7,7,7.0
1033,Monterey High,Monterey Peninsula Unified,Monterey,348,45,23,22,22,21,26,57.78
1034,Monterey Trail High,Elk Grove Unified,Sacramento,583,117,21,20,21,21,56,47.86
1035,Montgomery High,Santa Rosa High,Sonoma,354,47,24,23,25,24,37,78.72
1036,Montgomery Senior High,Sweetwater Union High,San Diego,452,62,18,18,18,19,19,30.65
1037,Moorpark High,Moorpark Unified,Ventura,457,108,25,24,25,24,85,78.7
1038,Moreno Valley High,Moreno Valley Unified,Riverside,540,39,21,19,20,19,18,46.15
1039,Moreno Valley Online Academy,Moreno Valley Unified,Riverside,76,0,0,0,0,0,0,0.0
1040,Morningside High,Inglewood Unified,Los Angeles,193,51,17,15,16,16,2,3.92
1041,Morro Bay High,San Luis Coastal Unified,San Luis Obispo,197,35,26,25,23,24,27,77.14
1042,Morse High,San Diego Unified,San Diego,374,55,21,21,21,20,31,56.36
1043,Mount Miguel High,Grossmont Union High,San Diego,322,27,19,18,20,19,10,37.04
1044,Mountain Empire High,Mountain Empire Unified,San Diego,84,13,7,7,7,7,7,7.0
1045,Mountain Heights Academy,San Jacinto Unified,Riverside,55,0,0,0,0,0,0,0.0
1046,Mountain House High,Lammersville Joint Unified,San Joaquin,283,52,28,27,26,26,46,88.46
1047,Mountain Oaks,Calaveras County Office of Education,Calaveras,49,0,0,0,0,0,0,0.0
1048,Mountain Valley Academy,Ramona City Unified,San Diego,23,1,7,7,7,7,7,7.0
1049,Mountain View (Alternative),Kings Canyon Joint Unified,Fresno,38,0,0,0,0,0,0,0.0
1050,Mountain View High,Mountain View-Los Altos Union High,Santa Clara,487,174,28,28,27,27,144,82.76
1051,Mountain View High,El Monte Union High,Los Angeles,330,51,21,19,19,19,20,39.22
1052,Mt. Carmel High,Poway Unified,San Diego,476,134,27,26,26,25,109,81.34
1053,Mt. Diablo High,Mt. Diablo Unified,Contra Costa,255,30,19,18,19,19,9,30.0
1054,Mt. Eden High,Hayward Unified,Alameda,459,38,22,21,20,21,22,57.89
1055,Mt. Everest Academy,San Diego Unified,San Diego,30,7,7,7,7,7,7,7.0
1056,Mt. Lassen Charter,Fort Sage Unified,Lassen,15,0,0,0,0,0,0,0.0
1057,Mt. Pleasant High,East Side Union High,Santa Clara,307,14,7,7,7,7,7,7.0
1058,Mt. Shasta High,Siskiyou Union High,Siskiyou,76,8,7,7,7,7,7,7.0
1059,Mt. Whitney High,Visalia Unified,Tulare,397,20,22,20,21,21,11,55.0
1060,Mueller Charter (Robert L.),Chula Vista Elementary,San Diego,86,10,7,7,7,7,7,7.0
1061,Murrieta Canyon Academy,Murrieta Valley Unified,Riverside,135,1,7,7,7,7,7,7.0
1062,Murrieta Mesa High,Murrieta Valley Unified,Riverside,574,151,22,21,21,21,80,52.98
1063,Murrieta Valley High,Murrieta Valley Unified,Riverside,572,142,23,22,22,22,96,67.61
1644,Napa High,Napa Valley Unified,Napa,432,59,22,22,22,22,36,61.02
1645,Napa Valley Independent Studies,Napa Valley Unified,Napa,53,0,0,0,0,0,0,0.0
1646,Nathaniel Narbonne Senior High,Los Angeles Unified,Los Angeles,543,50,21,19,20,21,23,46.0
1647,National University Academy,Lakeside Union Elementary,San Diego,21,1,7,7,7,7,7,7.0
1648,National University Academy 1001 STEAM,San Diego Unified,San Diego,26,0,0,0,0,0,0,0.0
1649,Natomas Charter,Natomas Unified,Sacramento,117,18,23,24,22,22,12,66.67
1650,Natomas High,Natomas Unified,Sacramento,243,199,15,13,16,15,18,9.05
1651,Natomas Pacific Pathways Prep,Natomas Unified,Sacramento,155,17,25,23,23,22,13,76.47
1652,NAVA College Preparatory Academy,Los Angeles Unified,Los Angeles,153,6,7,7,7,7,7,7.0
1653,Nea Community Learning Center,Alameda Unified,Alameda,18,1,7,7,7,7,7,7.0
1654,Needles High,Needles Unified,San Bernardino,63,6,7,7,7,7,7,7.0
1655,Nevada Union High,Nevada Joint Union High,Nevada,353,34,27,25,25,24,27,79.41
1656,New Day Academy,Whitmore Union Elementary,Shasta,25,1,7,7,7,7,7,7.0
1657,New Designs Charter,Los Angeles Unified,Los Angeles,86,68,17,16,18,17,7,10.29
1658,New Designs Charter School-Watts,Los Angeles Unified,Los Angeles,47,25,14,11,15,15,0,0.0
1659,New Millennium Secondary,Los Angeles Unified,Los Angeles,42,3,7,7,7,7,7,7.0
1660,New Open World Academy K-12,Los Angeles Unified,Los Angeles,85,3,7,7,7,7,7,7.0
1661,New Opportunities Charter,Centinela Valley Union High,Los Angeles,78,0,0,0,0,0,0,0.0
1662,New Technology High,Sacramento City Unified,Sacramento,43,3,7,7,7,7,7,7.0
1663,New Technology High,Napa Valley Unified,Napa,97,9,7,7,7,7,7,7.0
1664,New Village Girls Academy,Los Angeles Unified,Los Angeles,19,10,7,7,7,7,7,7.0
1665,New West Charter,SBE - New West Charter,Los Angeles,90,19,27,28,24,25,16,84.21
1666,Newark Memorial High,Newark Unified,Alameda,397,31,22,22,22,22,22,70.97
1667,Newbury Park High,Conejo Valley Unified,Ventura,596,154,27,26,26,25,127,82.47
1668,Newport Harbor High,Newport-Mesa Unified,Orange,548,237,25,25,24,24,169,71.31
1669,Nipomo High,Lucia Mar Unified,San Luis Obispo,226,23,22,21,21,23,14,60.87
1670,Nogales High,Rowland Unified,Los Angeles,433,68,19,17,18,19,16,23.53
1671,Norco High,Corona-Norco Unified,Riverside,472,58,23,21,22,22,37,63.79
1672,Nordhoff High,Ojai Unified,Ventura,157,15,26,26,24,24,13,86.67
1673,Norte Vista High,Alvord Unified,Riverside,483,63,20,18,19,18,18,28.57
1674,North Bay Met Academy,Windsor Unified,Sonoma,42,0,0,0,0,0,0,0.0
1675,North County Trade Tech High,Vista Unified,San Diego,38,0,0,0,0,0,0,0.0
1676,North High,Kern High,Kern,404,16,22,20,20,21,8,50.0
1677,North High,Torrance Unified,Los Angeles,448,73,24,23,24,23,50,68.49
1678,North Hollywood Senior High,Los Angeles Unified,Los Angeles,573,52,27,27,26,25,38,73.08
1679,North Monterey County Center for Independent Study,North Monterey County Unified,Monterey,50,0,0,0,0,0,0,0.0
1680,North Monterey County High,North Monterey County Unified,Monterey,297,42,19,17,18,20,10,23.81
1681,North Point Academy,Nevada Joint Union High,Nevada,39,0,0,0,0,0,0,0.0
1682,North Salinas High,Salinas Union High,Monterey,498,50,20,19,19,19,16,32.0
1683,North Star Independent Study,Amador County Unified,Amador,17,0,0,0,0,0,0,0.0
1684,North State Independence High,Shasta Union High,Shasta,53,0,0,0,0,0,0,0.0
1685,North Tahoe High,Tahoe-Truckee Unified,Placer,103,32,26,24,25,25,26,81.25
1686,North Valley Military Institute College Preparatory Academy,Los Angeles County Office of Education,Los Angeles,54,5,7,7,7,7,7,7.0
1687,Northcoast Preparatory and Performing Arts Academy,Humboldt County Office of Education,Humboldt,25,0,0,0,0,0,0,0.0
1688,Northern Summit Academy,Whitmore Union Elementary,Shasta,26,0,0,0,0,0,0,0.0
1689,Northern United - Humboldt Charter,Humboldt County Office of Education,Humboldt,33,0,0,0,0,0,0,0.0
1690,Northern United - Siskiyou Charter,Siskiyou County Office of Education,Siskiyou,20,0,0,0,0,0,0,0.0
1691,Northgate High,Mt. Diablo Unified,Contra Costa,364,180,27,27,26,26,148,82.22
1692,Northridge Academy High,Los Angeles Unified,Los Angeles,235,12,7,7,7,7,7,7.0
1693,Northview High,Covina-Valley Unified,Los Angeles,325,46,20,18,20,19,15,32.61
1694,Northwest Prep Charter,Piner-Olivet Union Elementary,Sonoma,17,0,0,0,0,0,0,0.0
1695,Northwood High,Irvine Unified,Orange,623,234,29,30,29,29,218,93.16
1696,Norwalk High,Norwalk-La Mirada Unified,Los Angeles,453,86,19,17,17,18,19,22.09
1697,NOVA Academy - Coachella,Coachella Valley Unified,Riverside,38,15,20,18,19,19,5,33.33
1698,Nova Academy Early College High,Santa Ana Unified,Orange,98,42,19,17,18,19,11,26.19
1699,Nova Education Center,Novato Unified,Marin,13,2,7,7,7,7,7,7.0
1700,Novato High,Novato Unified,Marin,326,88,23,23,23,22,54,61.36
1701,Nuview Bridge Early College High,Nuview Union,Riverside,157,169,19,17,20,19,58,34.32
1702,Oak Grove High,East Side Union High,Santa Clara,399,37,23,22,23,22,21,56.76
1703,Oak Hills High,Hesperia Unified,San Bernardino,570,154,20,18,20,19,58,37.66
1704,Oak Park High,Oak Park Unified,Ventura,377,152,29,29,27,27,143,94.08
1705,Oak Park Independent,Oak Park Unified,Ventura,41,5,7,7,7,7,7,7.0
1706,Oak Ridge High,El Dorado Union High,El Dorado,592,201,26,26,27,26,181,90.05
1707,Oakdale,Chico Unified,Butte,43,0,0,0,0,0,0,0.0
1708,Oakdale Charter,Oakdale Joint Unified,Stanislaus,15,1,7,7,7,7,7,7.0
1709,Oakdale High,Oakdale Joint Unified,Stanislaus,350,37,25,24,24,23,26,70.27
1710,Oakland Charter High,Oakland Unified,Alameda,110,18,23,22,25,22,11,61.11
1711,Oakland High,Oakland Unified,Alameda,328,74,19,19,19,19,30,40.54
1712,Oakland International High,Oakland Unified,Alameda,105,0,0,0,0,0,0,0.0
1713,Oakland Military Institute College Preparatory Academy,Oakland Unified,Alameda,85,6,7,7,7,7,7,7.0
1714,Oakland School for the Arts,Oakland Unified,Alameda,103,30,26,26,21,23,22,73.33
1715,Oakland Technical High,Oakland Unified,Alameda,492,131,26,25,25,24,96,73.28
1716,Oakland Unity High,Oakland Unified,Alameda,81,53,17,15,19,18,12,22.64
1717,Oakmont High,Roseville Joint Union High,Placer,482,74,26,25,25,25,62,83.78
1718,Oakview High (Alternative),Anderson Union High,Shasta,43,0,0,0,0,0,0,0.0
1719,Oasis High (Alternative),Fallbrook Union High,San Diego,31,2,7,7,7,7,7,7.0
1720,OCCS:CHEP/PCHS,Orange County Department of Education,Orange,105,9,7,7,7,7,7,7.0
1721,Ocean Grove Charter,San Lorenzo Valley Unified,Santa Cruz,89,4,7,7,7,7,7,7.0
1722,Ocean View High,Huntington Beach Union High,Orange,324,19,23,23,22,24,12,63.16
1723,Oceana High,Jefferson Union High,San Mateo,136,13,7,7,7,7,7,7.0
1724,Oceanside High,Oceanside Unified,San Diego,530,76,21,19,20,20,34,44.74
1725,O'Connell (John) High,San Francisco Unified,San Francisco,99,38,17,16,17,18,7,18.42
1726,OCSA,Santa Ana Unified,Orange,379,190,29,29,25,26,171,90.0
1727,Olive Grove Charter - Buellton,SBE - Olive Grove Charter - Buellton,Santa Barbara,23,0,0,0,0,0,0,0.0
1728,Olive Grove Charter - Lompoc,SBE - Olive Grove Charter - Lompoc,Santa Barbara,36,0,0,0,0,0,0,0.0
1729,Olive Grove Charter - Orcutt/Santa Maria,SBE - Olive Grove Charter - Orcutt/Santa Maria,Santa Barbara,42,1,7,7,7,7,7,7.0
1730,Olive Grove Charter - Santa Barbara,SBE - Olive Grove Charter - Santa Barbara,Santa Barbara,53,0,0,0,0,0,0,0.0
1731,Olympian High,Sweetwater Union High,San Diego,631,98,23,22,22,22,62,63.27
1732,Ontario High,Chaffey Joint Union High,San Bernardino,588,81,19,17,19,18,19,23.46
1733,Open Valley Independent Study,Patterson Joint Unified,Stanislaus,23,0,0,0,0,0,0,0.0
1734,Opportunities for Learning - Baldwin Park,Baldwin Park Unified,Los Angeles,613,0,0,0,0,0,0,0.0
1735,Opportunities for Learning - Capistrano,Capistrano Unified,Orange,14,3,7,7,7,7,7,7.0
1736,Opportunities for Learning - Duarte,Duarte Unified,Los Angeles,78,4,7,7,7,7,7,7.0
1737,Opportunities for Learning - Santa Clarita,William S. Hart Union High,Los Angeles,149,1,7,7,7,7,7,7.0
1738,Opportunity Youth Academy,Santa Clara County Office of Education,Santa Clara,239,0,0,0,0,0,0,0.0
1739,Optimist Charter,Los Angeles County Office of Education,Los Angeles,22,0,0,0,0,0,0,0.0
1740,Options for Youth San Gabriel,San Gabriel Unified,Los Angeles,153,3,7,7,7,7,7,7.0
1741,Options for Youth-Acton,Acton-Agua Dulce Unified,Los Angeles,165,1,7,7,7,7,7,7.0
1742,Options for Youth-San Bernardino,San Bernardino City Unified,San Bernardino,52,0,0,0,0,0,0,0.0
1743,Options for Youth-San Juan,San Juan Unified,Sacramento,166,0,0,0,0,0,0,0.0
1744,Options for Youth-Victorville Charter,Victor Valley Union High,San Bernardino,121,0,0,0,0,0,0,0.0
1745,Options Secondary,Sweetwater Union High,San Diego,22,0,0,0,0,0,0,0.0
1746,Orange Cove High,Kings Canyon Joint Unified,Fresno,122,33,16,15,16,16,2,6.06
1747,Orange Glen High,Escondido Union High,San Diego,497,101,19,18,18,19,24,23.76
1748,Orange High,Orange Unified,Orange,396,7,7,7,7,7,7,7.0
1749,Orange Vista High,Val Verde Unified,Riverside,407,0,0,0,0,0,0,0.0
1750,Orchard View,Twin Hills Union Elementary,Sonoma,25,0,0,0,0,0,0,0.0
1751,Orcutt Academy Charter,Orcutt Union Elementary,Santa Barbara,145,49,25,26,25,25,40,81.63
1752,Orestimba High,Newman-Crows Landing Unified,Stanislaus,216,18,23,22,23,22,10,55.56
1753,Orland High,Orland Joint Unified,Glenn,166,37,23,21,19,21,17,45.95
1754,Orosi High,Cutler-Orosi Joint Unified,Tulare,237,85,17,15,17,17,10,11.76
1755,Oroville High,Oroville Union High,Butte,225,19,21,19,20,21,7,36.84
1756,Orthopaedic Hospital,Los Angeles Unified,Los Angeles,168,69,18,17,18,19,18,26.09
1757,Oscar De La Hoya Animo Charter High,Los Angeles Unified,Los Angeles,144,12,7,7,7,7,7,7.0
1758,Otay Ranch Senior High,Sweetwater Union High,San Diego,626,67,22,21,21,20,35,52.24
1759,OUSD Home Sch,Orange Unified,Orange,26,1,7,7,7,7,7,7.0
1760,Oxford Academy,Anaheim Union High,Orange,200,56,31,32,30,30,56,100.0
1761,Oxnard High,Oxnard Union High,Ventura,596,31,21,22,22,21,17,54.84
1762,Pacheco High,Los Banos Unified,Merced,418,39,20,20,19,19,17,43.59
1763,Pacific Boulevard,Los Angeles Unified,Los Angeles,18,0,0,0,0,0,0,0.0
1764,Pacific Coast Academy,Dehesa Elementary,San Diego,47,0,0,0,0,0,0,0.0
1765,Pacific Coast Charter,Pajaro Valley Unified,Santa Cruz,56,2,7,7,7,7,7,7.0
1766,Pacific Collegiate Charter,Santa Cruz County Office of Education,Santa Cruz,90,48,29,29,27,27,46,95.83
1767,Pacific Grove High,Pacific Grove Unified,Monterey,138,31,26,27,26,26,26,83.87
1768,Pacific High,San Bernardino City Unified,San Bernardino,263,77,16,16,16,17,7,9.09
1769,Pacific Law Academy,Stockton Unified,San Joaquin,52,13,7,7,7,7,7,7.0
1770,Pacific View Charter,Oceanside Unified,San Diego,153,5,7,7,7,7,7,7.0
1771,Pacific View Charter 2.0,Eureka City Schools,Humboldt,16,0,0,0,0,0,0,0.0
1772,Pacifica High,Garden Grove Unified,Orange,395,36,24,24,25,24,28,77.78
1773,Pacifica High,Oxnard Union High,Ventura,726,16,22,20,21,21,8,50.0
1774,Pajaro Valley High,Pajaro Valley Unified,Santa Cruz,294,71,18,16,17,18,12,16.9
1775,Palisades Charter High,Los Angeles Unified,Los Angeles,714,207,28,28,26,26,174,84.06
1776,Palm Desert High,Desert Sands Unified,Riverside,435,84,26,24,23,24,63,75.0
1777,Palm Springs High,Palm Springs Unified,Riverside,418,119,19,18,19,19,34,28.57
1778,Palmdale Aerospace Academy,Palmdale Elementary,Los Angeles,167,31,21,21,20,21,15,48.39
1779,Palmdale High,Antelope Valley Union High,Los Angeles,621,24,19,18,17,18,6,25.0
1780,Palo Alto High,Palo Alto Unified,Santa Clara,507,231,28,28,28,28,192,83.12
1781,Palo Verde High,Palo Verde Unified,Riverside,174,7,7,7,7,7,7,7.0
1782,Paloma Valley High,Perris Union High,Riverside,717,73,21,19,20,20,36,49.32
1783,Palomares Academy of Health Science,Pomona Unified,Los Angeles,53,11,7,7,7,7,7,7.0
1784,Palos Verdes High,Palos Verdes Peninsula Unified,Los Angeles,451,208,26,27,26,25,181,87.02
1785,Palos Verdes Peninsula High,Palos Verdes Peninsula Unified,Los Angeles,609,217,28,28,27,27,194,89.4
1786,Panorama High,Los Angeles Unified,Los Angeles,269,10,7,7,7,7,7,7.0
1787,Paradise eLearning Academy,Paradise Unified,Butte,34,1,7,7,7,7,7,7.0
1788,Paradise Senior High,Paradise Unified,Butte,231,22,23,21,24,23,16,72.73
1789,Paramount High,Paramount Unified,Los Angeles,1135,61,21,21,21,22,35,57.38
1790,Parkview,Placentia-Yorba Linda Unified,Orange,23,4,7,7,7,7,7,7.0
1791,Parlier High,Parlier Unified,Fresno,201,33,18,16,18,18,8,24.24
1792,Pasadena High,Pasadena Unified,Los Angeles,414,47,22,20,20,20,23,48.94
1793,Paseo Grande Charter,Robla Elementary,Sacramento,15,1,7,7,7,7,7,7.0
1794,Paso Robles High,Paso Robles Joint Unified,San Luis Obispo,455,89,23,22,22,22,53,59.55
1795,Pathway Independent Study,Lynwood Unified,Los Angeles,97,0,0,0,0,0,0,0.0
1796,Pathways Academy Charter Adult Education,Acton-Agua Dulce Unified,Los Angeles,22,0,0,0,0,0,0,0.0
1797,Pathways Charter,Harmony Union Elementary,Sonoma,64,1,7,7,7,7,7,7.0
1798,Patriot High,Jurupa Unified,Riverside,539,37,22,20,21,20,15,40.54
1799,Patterson High,Patterson Joint Unified,Stanislaus,361,15,24,22,21,21,7,46.67
1800,Performing Arts Community at Diego Rivera Learning Complex,Los Angeles Unified,Los Angeles,125,20,16,14,16,15,2,10.0
1801,Perris High,Perris Union High,Riverside,512,152,17,16,17,17,22,14.47
1802,Pescadero High,La Honda-Pescadero Unified,San Mateo,21,2,7,7,7,7,7,7.0
1803,Petaluma High,Petaluma Joint Union High,Sonoma,319,78,25,24,23,24,60,76.92
1804,Peter Johansen High,Modesto City High,Stanislaus,405,14,7,7,7,7,7,7.0
1805,Phillip J Patino School of Entrepreneurship,Fresno Unified,Fresno,71,4,7,7,7,7,7,7.0
1806,Phineas Banning Senior High,Los Angeles Unified,Los Angeles,545,89,19,17,18,18,19,21.35
1807,Phoenix Charter Academy,Whitmore Union Elementary,Shasta,27,1,7,7,7,7,7,7.0
1808,Phoenix High (Continuation),Western Placer Unified,Placer,55,1,7,7,7,7,7,7.0
1809,Piedmont High,Piedmont City Unified,Alameda,205,111,30,32,29,29,108,97.3
1810,Piedmont Hills High,East Side Union High,Santa Clara,480,48,26,26,27,26,41,85.42
1811,Pierce High,Pierce Joint Unified,Colusa,103,16,19,17,19,19,5,31.25
1812,Piner High,Santa Rosa High,Sonoma,338,47,22,20,20,21,21,44.68
1813,Pinnacle Academy Charter - Independent Study,South Monterey County Joint Union High,Monterey,38,0,0,0,0,0,0,0.0
1814,Pinole Valley High,West Contra Costa Unified,Contra Costa,266,33,21,21,21,21,17,51.52
1815,Pioneer High,Whittier Union High,Los Angeles,315,88,18,17,20,18,26,29.55
1816,Pioneer High,San Jose Unified,Santa Clara,381,92,27,26,25,25,74,80.43
1817,Pioneer High,Woodland Joint Unified,Yolo,350,80,20,19,20,21,31,38.75
1818,Pioneer Valley High,Santa Maria Joint Union High,Santa Barbara,587,92,20,19,21,19,39,42.39
1819,Pittsburg Senior High,Pittsburg Unified,Contra Costa,716,155,19,19,19,19,45,29.03
1820,Pivot Charter School - North Bay,Oak Grove Union Elementary,Sonoma,60,0,0,0,0,0,0,0.0
1821,Pivot Charter School - San Diego II,San Marcos Unified,San Diego,25,0,0,0,0,0,0,0.0
1822,Pivot Charter School North Valley II,Chico Unified,Butte,25,0,0,0,0,0,0,0.0
1823,Pivot Charter School Riverside,Riverside County Office of Education,Riverside,22,1,7,7,7,7,7,7.0
1824,Pivot Online Charter - North Bay,Oak Grove Union Elementary,Sonoma,10,1,7,7,7,7,7,7.0
1825,Placer High,Placer Union High,Placer,343,64,24,22,23,23,39,60.94
1826,Pleasant Grove High,Elk Grove Unified,Sacramento,556,162,26,25,27,25,137,84.57
1827,Pleasant Valley High,Chico Unified,Butte,462,84,23,23,24,23,60,71.43
1828,Plumas Charter,Plumas Unified,Plumas,49,2,7,7,7,7,7,7.0
1829,Point Arena High,Point Arena Joint Union High,Mendocino,30,3,7,7,7,7,7,7.0
1830,Point Loma High,San Diego Unified,San Diego,456,157,26,25,24,25,114,72.61
1831,Polaris High (Alternative),Anaheim Union High,Orange,49,0,0,0,0,0,0,0.0
1832,Polytechnic High,Riverside Unified,Riverside,600,42,23,21,22,21,23,54.76
1833,Polytechnic High,Long Beach Unified,Los Angeles,1007,137,25,24,24,24,95,69.34
1834,Pomona High,Pomona Unified,Los Angeles,270,58,18,18,18,18,12,20.69
1835,Ponderosa High,El Dorado Union High,El Dorado,420,105,25,24,25,25,83,79.05
1836,Port of Los Angeles High,Los Angeles Unified,Los Angeles,202,38,22,21,22,21,25,65.79
1837,Porterville High,Porterville Unified,Tulare,435,88,19,18,19,19,30,34.09
1838,Portola Junior/Senior High,Plumas Unified,Plumas,35,2,7,7,7,7,7,7.0
1839,Potter Valley High,Potter Valley Community Unified,Mendocino,15,0,0,0,0,0,0,0.0
1840,Poway High,Poway Unified,San Diego,533,195,24,23,24,23,136,69.74
1841,Preuss School UCSD,San Diego Unified,San Diego,103,100,21,20,20,20,48,48.0
1842,Princeton Junior-Senior High,Princeton Joint Unified,Glenn,15,0,0,0,0,0,0,0.0
1843,Prospect Education Center,Porterville Unified,Tulare,25,0,0,0,0,0,0,0.0
1844,Prospect High,Campbell Union High,Santa Clara,386,65,26,26,25,26,51,78.46
1845,Prospects High (Alternative),Antioch Unified,Contra Costa,175,1,7,7,7,7,7,7.0
1846,Provisional Accelerated Learning Academy,San Bernardino City Unified,San Bernardino,100,0,0,0,0,0,0,0.0
1847,Public Safety Academy,Fairfield-Suisun Unified,Solano,79,3,7,7,7,7,7,7.0
1848,Public Safety Academy,San Bernardino City Unified,San Bernardino,43,0,0,0,0,0,0,0.0
1849,Public Service Community at Diego Rivera Learning Complex,Los Angeles Unified,Los Angeles,141,13,7,7,7,7,7,7.0
1850,PUC CALS Middle School and Early College High,Los Angeles Unified,Los Angeles,58,52,16,16,17,17,8,15.38
1851,PUC Community Charter Middle and PUC Community Charter Early College High,Los Angeles Unified,Los Angeles,89,83,17,16,18,18,20,24.1
1852,PUC Early College Academy for Leaders and Scholars (ECALS),Los Angeles Unified,Los Angeles,81,68,15,15,17,17,10,14.71
1853,PUC Lakeview Charter High,Los Angeles Unified,Los Angeles,100,93,18,17,18,17,22,23.66
1854,PUC Nueva Esperanza Charter Academy,Los Angeles Unified,Los Angeles,0,22,16,15,17,16,1,4.55
1855,PUC Triumph Charter Academy and PUC Triumph Charter High,Los Angeles Unified,Los Angeles,116,89,16,15,17,17,10,11.24
1856,Puente Hills High,Hacienda la Puente Unified,Los Angeles,77,0,0,0,0,0,0,0.0
1857,Quartz Hill High,Antelope Valley Union High,Los Angeles,750,68,26,25,23,24,54,79.41
1858,Quincy Junior/Senior High,Plumas Unified,Plumas,41,2,7,7,7,7,7,7.0
1859,Ramon C. Cortines School of Visual and Performing Arts,Los Angeles Unified,Los Angeles,342,48,21,21,19,20,23,47.92
1860,Ramona High,Ramona City Unified,San Diego,352,80,23,22,23,23,54,67.5
1861,Ramona High,Riverside Unified,Riverside,543,127,20,18,19,19,41,32.28
1862,Rancho Alamitos High,Garden Grove Unified,Orange,424,12,7,7,7,7,7,7.0
1863,Rancho Bernardo High,Poway Unified,San Diego,597,189,25,25,26,25,151,79.89
1864,Rancho Buena Vista High,Vista Unified,San Diego,484,63,23,22,23,22,40,63.49
1865,Rancho Campana High,Oxnard Union High,Ventura,166,30,25,25,23,24,25,83.33
1866,Rancho Cotate High,Cotati-Rohnert Park Unified,Sonoma,343,38,20,18,20,20,14,36.84
1867,Rancho Cucamonga High,Chaffey Joint Union High,San Bernardino,798,77,23,22,22,22,41,53.25
1868,Rancho del Mar High (Continuation),Palos Verdes Peninsula Unified,Los Angeles,24,1,7,7,7,7,7,7.0
1869,Rancho Dominguez Preparatory,Los Angeles Unified,Los Angeles,129,43,16,15,17,17,1,2.33
1870,Rancho Learning Center (Alternative),Arcadia Unified,Los Angeles,21,0,0,0,0,0,0,0.0
1871,Rancho Mirage High,Palm Springs Unified,Riverside,362,36,22,20,19,20,15,41.67
1872,Rancho Verde High,Val Verde Unified,Riverside,505,37,20,19,19,19,13,35.14
1873,REALM Charter,Berkeley Unified,Alameda,65,0,0,0,0,0,0,0.0
1874,Red Bluff High,Red Bluff Joint Union High,Tehama,320,151,20,19,20,20,63,41.72
1875,Redlands East Valley High,Redlands Unified,San Bernardino,545,92,23,22,23,22,56,60.87
1876,Redlands Senior High,Redlands Unified,San Bernardino,569,46,28,27,28,27,42,91.3
1877,Redondo Union High,Redondo Beach Unified,Los Angeles,709,267,24,24,23,24,191,71.54
1878,Redwood Academy of Ukiah,Ukiah Unified,Mendocino,23,0,0,0,0,0,0,0.0
1879,Redwood High,Tamalpais Union High,Marin,447,176,28,28,27,27,159,90.34
1880,Redwood High,Visalia Unified,Tulare,494,74,23,23,22,23,50,67.57
1881,Reedley High,Kings Canyon Joint Unified,Fresno,348,105,20,18,18,19,27,25.71
1882,Reedley Middle College High,Kings Canyon Joint Unified,Fresno,34,31,17,16,18,17,5,16.13
1883,Renaissance Arts Academy,Los Angeles Unified,Los Angeles,44,40,23,24,20,21,21,52.5
1884,Renaissance High School for the Arts,Long Beach Unified,Los Angeles,99,1,7,7,7,7,7,7.0
1885,Reseda Charter High,Los Angeles Unified,Los Angeles,349,18,20,20,20,21,7,38.89
1886,Rialto High,Rialto Unified,San Bernardino,611,93,19,18,20,20,34,36.56
1887,Richland Continuation High,Orange Unified,Orange,134,1,7,7,7,7,7,7.0
1888,Richmond High,West Contra Costa Unified,Contra Costa,386,70,18,16,17,17,10,14.29
