,school,district,county,enroll_12,num_takers_12,avg_score_read,avg_score_eng,avg_score_math,avg_score_sci,num_above_benchmark,percent_above_benchmark
337,Coleville High,Eastern Sierra Unified,Mono,17,1,7,7,7,7,7,7.0
338,Colfax High,Placer Union High,Placer,125,31,24,22,22,22,20,64.52
339,Coliseum College Prep Academy,Oakland Unified,Alameda,63,9,7,7,7,7,7,7.0
340,College and Career Preparatory Academy,Orange County Department of Education,Orange,96,0,0,0,0,0,0,0.0
341,College Bridge Academy,Inyo County Office of Education,Inyo,86,0,0,0,0,0,0,0.0
342,College Park High,Mt. Diablo Unified,Contra Costa,443,70,25,24,24,23,53,75.71
343,Collegiate Charter High of Los Angeles,Los Angeles Unified,Los Angeles,34,0,0,0,0,0,0,0.0
344,Colony High,Chaffey Joint Union High,San Bernardino,539,55,20,20,20,20,22,40.0
345,Colton High,Colton Joint Unified,San Bernardino,445,71,18,17,19,18,14,19.72
346,Colusa Alternative Home,Colusa Unified,Colusa,18,0,0,0,0,0,0,0.0
347,Colusa High,Colusa Unified,Colusa,81,5,7,7,7,7,7,7.0
348,Come Back Butte Charter,Butte County Office of Education,Butte,29,0,0,0,0,0,0,0.0
349,Come Back Charter,Merced County Office of Education,Merced,19,0,0,0,0,0,0,0.0
350,Communication and Technology at Diego Rivera Learning Complex,Los Angeles Unified,Los Angeles,103,33,15,14,17,15,2,6.06
351,Community Collaborative Charter,Acton-Agua Dulce Unified,Los Angeles,91,0,0,0,0,0,0,0.0
352,Community Collaborative Charter,Twin Rivers Unified,Sacramento,154,0,0,0,0,0,0,0.0
353,Community Collaborative Virtual - Sage Oak Charter,Helendale Elementary,San Bernardino,37,0,0,0,0,0,0,0.0
354,Compass Charter Schools of Fresno,Orange Center,Fresno,10,1,7,7,7,7,7,7.0
355,Compass Charter Schools of Los Angeles,Acton-Agua Dulce Unified,Los Angeles,45,1,7,7,7,7,7,7.0
356,Compass Charter Schools of San Diego,Mountain Empire Unified,San Diego,32,1,7,7,7,7,7,7.0
357,Compton Early College High,Compton Unified,Los Angeles,65,64,20,18,19,19,22,34.38
358,Compton High,Compton Unified,Los Angeles,354,274,15,13,16,15,14,5.11
359,Concord High,Mt. Diablo Unified,Contra Costa,369,24,25,24,24,23,21,87.5
360,Condor High,Oxnard Union High,Ventura,214,3,7,7,7,7,7,7.0
361,Connecting Waters Charter,Waterford Unified,Stanislaus,177,5,7,7,7,7,7,7.0
362,Connections Visual and Performing Arts Academy,Summerville Union High,Tuolumne,43,0,0,0,0,0,0,0.0
363,Conservatory of Vocal/Instrumental Arts High,Oakland Unified,Alameda,13,1,7,7,7,7,7,7.0
364,Contra Costa School of Performing Arts,Contra Costa County Office of Education,Contra Costa,16,3,7,7,7,7,7,7.0
365,Contreras Learning Center-Academic Leadership Community,Los Angeles Unified,Los Angeles,84,58,14,13,16,15,3,5.17
366,Contreras Learning Center-Los Angeles School of Global Studies,Los Angeles Unified,Los Angeles,70,6,7,7,7,7,7,7.0
367,Contreras Learning Center-School of Social Justice,Los Angeles Unified,Los Angeles,90,40,16,14,16,15,3,7.5
368,Corcoran High,Corcoran Joint Unified,Kings,169,40,18,17,18,19,10,25.0
369,Cordova High,Folsom-Cordova Unified,Sacramento,386,23,23,23,22,21,14,60.87
370,CORE Butte Charter,Butte County Office of Education,Butte,113,10,7,7,7,7,7,7.0
371,CORE Charter,Camptonville Elementary,Yuba,42,4,7,7,7,7,7,7.0
372,CORE Placer Charter,Placer County Office of Education,Placer,49,2,7,7,7,7,7,7.0
373,Corning High,Corning Union High,Tehama,206,113,18,18,18,17,33,29.2
374,Corona del Mar High,Newport-Mesa Unified,Orange,458,300,27,28,26,26,265,88.33
375,Corona High,Corona-Norco Unified,Riverside,581,108,19,18,19,19,34,31.48
376,Coronado High,Coronado Unified,San Diego,291,128,26,25,25,25,100,78.13
377,Corona-Norco Alternative,Corona-Norco Unified,Riverside,65,0,0,0,0,0,0,0.0
378,Costa Mesa High,Newport-Mesa Unified,Orange,286,30,24,23,21,22,19,63.33
379,Cosumnes Oaks High,Elk Grove Unified,Sacramento,580,143,24,23,23,23,100,69.93
380,County Collaborative Charter,Mountain Empire Unified,San Diego,39,0,0,0,0,0,0,0.0
381,Covina High,Covina-Valley Unified,Los Angeles,270,9,7,7,7,7,7,7.0
382,Crawford High,San Diego Unified,San Diego,218,37,19,18,18,19,11,29.73
383,Creative Connections Arts Academy,Twin Rivers Unified,Sacramento,34,0,0,0,0,0,0,0.0
384,Credo High,Cotati-Rohnert Park Unified,Sonoma,65,11,7,7,7,7,7,7.0
385,Crenshaw Science Technology Engineering Math and Medicine Magnet,Los Angeles Unified,Los Angeles,216,33,16,14,16,15,3,9.09
386,Crescent Valley Public Charter II,Stone Corral Elementary,Tulare,35,0,0,0,0,0,0,0.0
387,Crescent View South II,Westside Elementary,Fresno,66,0,0,0,0,0,0,0.0
388,Crescent View West Public Charter,Fresno County Office of Education,Fresno,140,5,7,7,7,7,7,7.0
389,Crescenta Valley High,Glendale Unified,Los Angeles,631,143,27,27,26,26,124,86.71
390,Crossroads Alternative Education Center,Los Banos Unified,Merced,35,0,0,0,0,0,0,0.0
391,Crossroads Charter,Armona Union Elementary,Kings,38,0,0,0,0,0,0,0.0
392,Crossroads High,Mt. Diablo Unified,Contra Costa,25,0,0,0,0,0,0,0.0
393,Crossroads High (Alternative),Newark Unified,Alameda,17,0,0,0,0,0,0,0.0
394,Culver City High,Culver City Unified,Los Angeles,526,147,24,24,22,23,94,63.95
395,Culver Park High,Culver City Unified,Los Angeles,26,1,7,7,7,7,7,7.0
396,Cupertino High,Fremont Union High,Santa Clara,625,209,29,30,30,29,200,95.69
